saved_at,run_id,lookback,entry_z,exit_z,stop_z,max_holding_days,trade_count,win_rate,total_pnl,avg_pnl,min_trades,start_date,end_date,param_grid
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.5,3.5,20,424,0.7004716981132075,20.673995433457122,0.048759423192115854,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.5,3.5,20,379,0.6596306068601583,20.640952801194004,0.05446161688969394,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.3,3.5,20,410,0.6853658536585366,20.588393808172864,0.05021559465408015,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,40,2.5,0.5,3.0,10,606,0.6006600660066007,20.54078807623795,0.033895689894782095,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.5,3.0,10,682,0.6099706744868035,20.23252849775981,0.029666464072961595,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.5,3.0,20,534,0.6123595505617978,20.232478258282228,0.03788853606419893,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.3,3.5,10,550,0.6763636363636364,20.05652807845249,0.03646641468809544,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.0,0.5,3.5,10,561,0.679144385026738,19.646472955188784,0.03502045090051477,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.3,3.0,20,479,0.5553235908141962,19.49554332819528,0.04070050799205695,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.5,3.0,20,485,0.5608247422680412,19.44457100940358,0.040091898988460994,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.3,3.0,20,404,0.5866336633663366,18.847931812290206,0.04665329656507477,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.3,3.0,10,581,0.6230636833046471,18.553274295970116,0.03193334646466457,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.3,3.5,10,482,0.6867219917012448,18.27031700701402,0.03790522200625316,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.5,3.5,20,320,0.684375,18.193493969457254,0.05685466865455392,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.5,3.5,10,489,0.689161554192229,18.165918885942347,0.037149118376160216,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.5,3.0,20,409,0.5990220048899756,18.10320360940316,0.044262111514433156,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.0,0.5,3.0,10,588,0.6258503401360545,18.027516359020524,0.03065904142690565,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.3,3.5,20,314,0.6719745222929936,17.949108076462416,0.05716276457472107,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.3,3.0,10,423,0.6052009456264775,16.35887048826454,0.03867345269093272,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.5,3.0,10,426,0.607981220657277,16.075218190921,0.037735253969298124,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.3,3.5,10,403,0.6501240694789082,15.645725903693144,0.03882314120023113,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.5,3.5,10,407,0.6535626535626535,15.639460338476827,0.038426192477830044,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.3,3.0,10,498,0.570281124497992,15.368086481327332,0.030859611408287815,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,60,2.5,0.5,3.0,10,502,0.5737051792828686,15.324730420072733,0.030527351434407834,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.3,3.5,10,341,0.6656891495601173,15.151314267479648,0.044432006649500436,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
2026-03-17T08:48:03,20260317084803182882,80,2.5,0.5,3.5,10,343,0.6676384839650146,15.12818322638933,0.04410549045594557,5,2023-03-18,2026-03-17,"{""lookback"": [40, 60, 80], ""entry_z"": [1.5, 2.0, 2.5], ""exit_z"": [0.3, 0.5], ""stop_z"": [3.0, 3.5], ""max_holding_days"": [10, 20]}"
